Sort,N,Avg comps,Avg exchs,Avg time (ns)
First Sort,64,1069,1065,4078
First Sort,128,4189,4185,5971
First Sort,256,16571,16566,23220
First Sort,512,65890,65884,75778
First Sort,1024,262914,262908,288865
Second Sort,64,490,350,3370
Second Sort,128,1148,803,6546
Second Sort,256,2742,1914,15538
Second Sort,512,6130,4645,34427
Second Sort,1024,14204,10707,80430
Third Sort,64,360,224,3652
Third Sort,128,890,532,5289
Third Sort,256,2124,1238,11515
Third Sort,512,4939,2824,26118
Third Sort,1024,11294,6348,57224
